iter	Passed	Remaining
665	14350	7196
666	14371	7174
667	14391	7152
668	14413	7131
669	14433	7109
670	14454	7087
671	14476	7065
672	14496	7043
673	14517	7021
674	14537	6999
675	14559	6978
676	14579	6955
677	14599	6933
678	14620	6911
679	14640	6889
680	14661	6867
681	14681	6845
682	14701	6823
683	14722	6801
684	14742	6779
685	14763	6757
686	14784	6735
687	14805	6713
688	14825	6691
689	14845	6669
690	14866	6647
691	14886	6625
692	14907	6603
693	14928	6582
694	14949	6560
695	14970	6538
696	14990	6516
697	15010	6494
698	15032	6473
699	15053	6451
700	15074	6429
701	15095	6407
702	15115	6385
703	15136	6364
704	15157	6342
705	15178	6320
706	15198	6298
707	15219	6276
708	15239	6254
709	15260	6233
710	15280	6211
711	15303	6190
712	15323	6168
713	15344	6146
714	15365	6124
715	15387	6103
716	15408	6081
717	15429	6059
718	15450	6038
719	15470	6016
720	15491	5994
721	15512	5972
722	15533	5951
723	15554	5929
724	15574	5907
725	15595	5886
726	15617	5864
727	15638	5842
728	15660	5821
729	15682	5800
730	15702	5778
731	15724	5756
732	15745	5735
733	15765	5713
734	15786	5691
735	15807	5670
736	15827	5648
737	15848	5626
738	15869	5604
739	15890	5583
740	15911	5561
741	15932	5539
742	15953	5518
743	15973	5496
744	15995	5474
745	16015	5452
746	16036	5431
747	16056	5409
748	16076	5387
749	16097	5365
750	16118	5344
751	16140	5323
752	16164	5302
753	16185	5280
754	16206	5259
755	16228	5237
756	16249	5216
757	16270	5194
758	16291	5172
759	16311	5151
760	16332	5129
761	16352	5107
762	16373	5085
763	16394	5064
764	16414	5042
765	16436	5021
766	16456	4999
767	16477	4977
768	16498	4955
769	16518	4934
770	16539	4912
771	16559	4890
772	16580	4868
773	16600	4847
774	16620	4825
775	16640	4803
776	16661	4781
777	16681	4760
778	16702	4738
779	16722	4716
780	16742	4694
781	16762	4673
782	16783	4651
783	16803	4629
784	16823	4607
785	16843	4586
786	16864	4564
787	16884	4542
788	16905	4520
789	16925	4499
790	16945	4477
791	16966	4455
792	16986	4433
793	17006	4412
794	17026	4390
795	17048	4369
796	17068	4347
797	17088	4325
798	17109	4304
799	17130	4282
800	17150	4260
801	17171	4239
802	17192	4217
803	17213	4196
804	17234	4174
805	17254	4153
806	17275	4131
807	17295	4109
808	17315	4088
809	17337	4066
810	17358	4045
811	17378	4023
812	17399	4002
813	17419	3980
814	17440	3958
815	17461	3937
816	17482	3915
817	17503	3894
818	17524	3872
819	17545	3851
820	17566	3829
821	17586	3808
822	17607	3786
823	17628	3765
824	17649	3743
825	17670	3722
826	17691	3700
827	17712	3679
828	17734	3658
829	17754	3636
830	17775	3615
831	17796	3593
832	17817	3572
833	17838	3550
834	17859	3529
835	17880	3507
836	17900	3486
837	17921	3464
838	17941	3442
839	17962	3421
840	17982	3399
841	18003	3378
842	18103	3371
843	18134	3351
844	18155	3330
845	18176	3308
846	18196	3287
847	18217	3265
848	18237	3243
849	18259	3222
850	18279	3200
851	18299	3178
852	18320	3157
853	18340	3135
854	18363	3114
855	18384	3092
856	18405	3071
857	18426	3049
858	18446	3027
859	18467	3006
860	18489	2984
861	18509	2963
862	18531	2941
863	18552	2920
864	18572	2898
865	18596	2877
866	18617	2855
867	18638	2834
868	18658	2812
869	18680	2791
870	18700	2769
871	18720	2748
872	18741	2726
873	18763	2705
874	18784	2683
875	18804	2661
876	18825	2640
877	18846	2618
878	18867	2597
879	18887	2575
880	18909	2554
881	18931	2532
882	18951	2511
883	18972	2489
884	18993	2468
885	19013	2446
886	19034	2424
887	19054	2403
888	19075	2381
889	19095	2360
890	19117	2338
891	19137	2317
892	19158	2295
893	19178	2273
894	19198	2252
895	19219	2230
896	19240	2209
897	19260	2187
898	19281	2166
899	19301	2144
900	19322	2123
901	19343	2101
902	19363	2080
903	19384	2058
904	19404	2036
905	19425	2015
906	19447	1994
907	19467	1972
908	19487	1950
909	19508	1929
910	19530	1908
911	19551	1886
912	19572	1865
913	19592	1843
914	19613	1822
915	19634	1800
916	19655	1779
917	19675	1757
918	19696	1736
919	19716	1714
920	19736	1692
921	19757	1671
922	19777	1649
923	19797	1628
924	19818	1606
925	19839	1585
926	19859	1563
927	19880	1542
928	19900	1520
929	19921	1499
930	19942	1478
931	19963	1456
932	19985	1435
933	20005	1413
934	20026	1392
935	20047	1370
936	20068	1349
937	20088	1327
938	20109	1306
939	20129	1284
940	20150	1263
941	20171	1241
942	20192	1220
943	20213	1199
944	20234	1177
945	20255	1156
946	20276	1134
947	20297	1113
948	20318	1091
949	20339	1070
950	20359	1049
951	20380	1027
952	20401	1006
953	20422	984
954	20442	963
955	20463	941
956	20483	920
957	20504	898
958	20524	877
959	20544	856
960	20565	834
961	20586	813
